id,表章項目,男女_時系列,地域_時系列,時間軸(調査年),unit,value
84,人口,総数,宮城県,2020年,人,2301996
85,人口,総数,秋田県,1920年,人,898537
86,人口,総数,秋田県,1925年,人,936408
87,人口,総数,秋田県,1930年,人,987706
88,人口,総数,秋田県,1935年,人,1037744
89,人口,総数,秋田県,1940年,人,1052275
90,人口,総数,秋田県,1945年,人,1211871
91,人口,総数,秋田県,1950年,人,1309031
92,人口,総数,秋田県,1955年,人,1348871
93,人口,総数,秋田県,1960年,人,1335580
94,人口,総数,秋田県,1965年,人,1279835
95,人口,総数,秋田県,1970年,人,1241376
96,人口,総数,秋田県,1975年,人,1232481
97,人口,総数,秋田県,1980年,人,1256745
98,人口,総数,秋田県,1985年,人,1254032
99,人口,総数,秋田県,1990年,人,1227478
100,人口,総数,秋田県,1995年,人,1213667
101,人口,総数,秋田県,2000年,人,1189279
102,人口,総数,秋田県,2005年,人,1145501
103,人口,総数,秋田県,2010年,人,1085997
104,人口,総数,秋田県,2015年,人,1023119
105,人口,総数,秋田県,2020年,人,959502
106,人口,総数,山形県,1920年,人,968925
107,人口,総数,山形県,1925年,人,1027297
108,人口,総数,山形県,1930年,人,1080034
109,人口,総数,山形県,1935年,人,1116822
110,人口,総数,山形県,1940年,人,1119338
111,人口,総数,山形県,1945年,人,1326350
112,人口,総数,山形県,1950年,人,1357347
113,人口,総数,山形県,1955年,人,1353649
114,人口,総数,山形県,1960年,人,1320664
115,人口,総数,山形県,1965年,人,1263103
116,人口,総数,山形県,1970年,人,1225618
117,人口,総数,山形県,1975年,人,1220302
118,人口,総数,山形県,1980年,人,1251917
119,人口,総数,山形県,1985年,人,1261662
120,人口,総数,山形県,1990年,人,1258390
121,人口,総数,山形県,1995年,人,1256958
122,人口,総数,山形県,2000年,人,1244147
123,人口,総数,山形県,2005年,人,1216181
124,人口,総数,山形県,2010年,人,1168924
125,人口,総数,山形県,2015年,人,1123891
126,人口,総数,山形県,2020年,人,1068027
127,人口,総数,福島県,1920年,人,1362750
128,人口,総数,福島県,1925年,人,1437596
129,人口,総数,福島県,1930年,人,1508150
130,人口,総数,福島県,1935年,人,1581563
131,人口,総数,福島県,1940年,人,1625521
132,人口,総数,福島県,1945年,人,1957356
133,人口,総数,福島県,1950年,人,2062394
134,人口,総数,福島県,1955年,人,2095237
135,人口,総数,福島県,1960年,人,2051137
136,人口,総数,福島県,1965年,人,1983754
137,人口,総数,福島県,1970年,人,1946077
138,人口,総数,福島県,1975年,人,1970616
139,人口,総数,福島県,1980年,人,2035272
140,人口,総数,福島県,1985年,人,2080304
141,人口,総数,福島県,1990年,人,2104058
142,人口,総数,福島県,1995年,人,2133592
143,人口,総数,福島県,2000年,人,2126935
144,人口,総数,福島県,2005年,人,2091319
145,人口,総数,福島県,2010年,人,2029064
146,人口,総数,福島県,2015年,人,1914039
147,人口,総数,福島県,2020年,人,1833152
148,人口,総数,茨城県,1920年,人,1350400
149,人口,総数,茨城県,1925年,人,1409092
150,人口,総数,茨城県,1930年,人,1487097
151,人口,総数,茨城県,1935年,人,1548991
152,人口,総数,茨城県,1940年,人,1620000
153,人口,総数,茨城県,1945年,人,1944344
154,人口,総数,茨城県,1950年,人,2039418
155,人口,総数,茨城県,1955年,人,2064037
156,人口,総数,茨城県,1960年,人,2047024
157,人口,総数,茨城県,1965年,人,2056154
158,人口,総数,茨城県,1970年,人,2143551
159,人口,総数,茨城県,1975年,人,2342198
160,人口,総数,茨城県,1980年,人,2558007
161,人口,総数,茨城県,1985年,人,2725005
162,人口,総数,茨城県,1990年,人,2845382
163,人口,総数,茨城県,1995年,人,2955530
164,人口,総数,茨城県,2000年,人,2985676
165,人口,総数,茨城県,2005年,人,2975167
166,人口,総数,茨城県,2010年,人,2969770
167,人口,総数,茨城県,2015年,人,2916976
168,人口,総数,茨城県,2020年,人,2867009
169,人口,総数,栃木県,1920年,人,1046479
170,人口,総数,栃木県,1925年,人,1090428
171,人口,総数,栃木県,1930年,人,1141737
172,人口,総数,栃木県,1935年,人,1195057
173,人口,総数,栃木県,1940年,人,1206657
174,人口,総数,栃木県,1945年,人,1546355
175,人口,総数,栃木県,1950年,人,1550462
176,人口,総数,栃木県,1955年,人,1547580
177,人口,総数,栃木県,1960年,人,1513624
178,人口,総数,栃木県,1965年,人,1521656
179,人口,総数,栃木県,1970年,人,1580021
180,人口,総数,栃木県,1975年,人,1698003
181,人口,総数,栃木県,1980年,人,1792201
182,人口,総数,栃木県,1985年,人,1866066
183,人口,総数,栃木県,1990年,人,1935168
184,人口,総数,栃木県,1995年,人,1984390
185,人口,総数,栃木県,2000年,人,2004817
186,人口,総数,栃木県,2005年,人,2016631
187,人口,総数,栃木県,2010年,人,2007683
188,人口,総数,栃木県,2015年,人,1974255
189,人口,総数,栃木県,2020年,人,1933146
190,人口,総数,群馬県,1920年,人,1052610
191,人口,総数,群馬県,1925年,人,1118858
192,人口,総数,群馬県,1930年,人,1186080
193,人口,総数,群馬県,1935年,人,1242453
194,人口,総数,群馬県,1940年,人,1299027
195,人口,総数,群馬県,1945年,人,1546081
196,人口,総数,群馬県,1950年,人,1601380
197,人口,総数,群馬県,1955年,人,1613549
198,人口,総数,群馬県,1960年,人,1578476
199,人口,総数,群馬県,1965年,人,1605584
200,人口,総数,群馬県,1970年,人,1658909
201,人口,総数,群馬県,1975年,人,1756480
202,人口,総数,群馬県,1980年,人,1848562
203,人口,総数,群馬県,1985年,人,1921259
204,人口,総数,群馬県,1990年,人,1966265
205,人口,総数,群馬県,1995年,人,2003540
206,人口,総数,群馬県,2000年,人,2024852
207,人口,総数,群馬県,2005年,人,2024135
208,人口,総数,群馬県,2010年,人,2008068
209,人口,総数,群馬県,2015年,人,1973115
210,人口,総数,群馬県,2020年,人,1939110
211,人口,総数,埼玉県,1920年,人,1319533
212,人口,総数,埼玉県,1925年,人,1394461
213,人口,総数,埼玉県,1930年,人,1459172
214,人口,総数,埼玉県,1935年,人,1528854
215,人口,総数,埼玉県,1940年,人,1608039
216,人口,総数,埼玉県,1945年,人,2047261
217,人口,総数,埼玉県,1950年,人,2146445
218,人口,総数,埼玉県,1955年,人,2262623
219,人口,総数,埼玉県,1960年,人,2430871
220,人口,総数,埼玉県,1965年,人,3014983
221,人口,総数,埼玉県,1970年,人,3866472
222,人口,総数,埼玉県,1975年,人,4821340
223,人口,総数,埼玉県,1980年,人,5420480
224,人口,総数,埼玉県,1985年,人,5863678
225,人口,総数,埼玉県,1990年,人,6405319
226,人口,総数,埼玉県,1995年,人,6759311
227,人口,総数,埼玉県,2000年,人,6938006
228,人口,総数,埼玉県,2005年,人,7054243
229,人口,総数,埼玉県,2010年,人,7194556
230,人口,総数,埼玉県,2015年,人,7266534
231,人口,総数,埼玉県,2020年,人,7344765
232,人口,総数,千葉県,1920年,人,1336155
233,人口,総数,千葉県,1925年,人,1399257
234,人口,総数,千葉県,1930年,人,1470121
235,人口,総数,千葉県,1935年,人,1546394
236,人口,総数,千葉県,1940年,人,1588425
237,人口,総数,千葉県,1945年,人,1966862
238,人口,総数,千葉県,1950年,人,2139037
239,人口,総数,千葉県,1955年,人,2205060
240,人口,総数,千葉県,1960年,人,2306010
241,人口,総数,千葉県,1965年,人,2701770
242,人口,総数,千葉県,1970年,人,3366624
243,人口,総数,千葉県,1975年,人,4149147
244,人口,総数,千葉県,1980年,人,4735424
245,人口,総数,千葉県,1985年,人,5148163
246,人口,総数,千葉県,1990年,人,5555429
247,人口,総数,千葉県,1995年,人,5797782
248,人口,総数,千葉県,2000年,人,5926285
249,人口,総数,千葉県,2005年,人,6056462
250,人口,総数,千葉県,2010年,人,6216289
251,人口,総数,千葉県,2015年,人,6222666
252,人口,総数,千葉県,2020年,人,6284480
253,人口,総数,東京都,1920年,人,3699428
254,人口,総数,東京都,1925年,人,4485144
255,人口,総数,東京都,1930年,人,5408678
256,人口,総数,東京都,1935年,人,6369919
257,人口,総数,東京都,1940年,人,7354971
258,人口,総数,東京都,1945年,人,3488284
259,人口,総数,東京都,1950年,人,6277500
260,人口,総数,東京都,1955年,人,8037084
261,人口,総数,東京都,1960年,人,9683802
262,人口,総数,東京都,1965年,人,10869244
263,人口,総数,東京都,1970年,人,11408071
264,人口,総数,東京都,1975年,人,11673554
265,人口,総数,東京都,1980年,人,11618281
266,人口,総数,東京都,1985年,人,11829363
267,人口,総数,東京都,1990年,人,11855563
268,人口,総数,東京都,1995年,人,11773605
269,人口,総数,東京都,2000年,人,12064101
270,人口,総数,東京都,2005年,人,12576601
271,人口,総数,東京都,2010年,人,13159388
272,人口,総数,東京都,2015年,人,13515271
273,人口,総数,東京都,2020年,人,14047594
274,人口,総数,神奈川県,1920年,人,1323390
275,人口,総数,神奈川県,1925年,人,1416792
276,人口,総数,神奈川県,1930年,人,1619606
277,人口,総数,神奈川県,1935年,人,1840005
278,人口,総数,神奈川県,1940年,人,2188974
279,人口,総数,神奈川県,1945年,人,1865667
280,人口,総数,神奈川県,1950年,人,2487665
281,人口,総数,神奈川県,1955年,人,2919497
282,人口,総数,神奈川県,1960年,人,3443176
283,人口,総数,神奈川県,1965年,人,4430743
284,人口,総数,神奈川県,1970年,人,5472247
285,人口,総数,神奈川県,1975年,人,6397748
286,人口,総数,神奈川県,1980年,人,6924348
287,人口,総数,神奈川県,1985年,人,7431974
288,人口,総数,神奈川県,1990年,人,7980391
289,人口,総数,神奈川県,1995年,人,8245900
290,人口,総数,神奈川県,2000年,人,8489974
291,人口,総数,神奈川県,2005年,人,8791597
292,人口,総数,神奈川県,2010年,人,9048331
293,人口,総数,神奈川県,2015年,人,9126214
294,人口,総数,神奈川県,2020年,人,9237337
295,人口,総数,新潟県,1920年,人,1776474
296,人口,総数,新潟県,1925年,人,1849807
297,人口,総数,新潟県,1930年,人,1933326
298,人口,総数,新潟県,1935年,人,1995777
299,人口,総数,新潟県,1940年,人,2064402
300,人口,総数,新潟県,1945年,人,2389653
301,人口,総数,新潟県,1950年,人,2460997
302,人口,総数,新潟県,1955年,人,2473492
303,人口,総数,新潟県,1960年,人,2442037
304,人口,総数,新潟県,1965年,人,2398931
305,人口,総数,新潟県,1970年,人,2360982
306,人口,総数,新潟県,1975年,人,2391938
307,人口,総数,新潟県,1980年,人,2451357
308,人口,総数,新潟県,1985年,人,2478470
309,人口,総数,新潟県,1990年,人,2474583
310,人口,総数,新潟県,1995年,人,2488364
311,人口,総数,新潟県,2000年,人,2475733
312,人口,総数,新潟県,2005年,人,2431459
313,人口,総数,新潟県,2010年,人,2374450
314,人口,総数,新潟県,2015年,人,2304264
315,人口,総数,新潟県,2020年,人,2201272
316,人口,総数,富山県,1920年,人,724276
317,人口,総数,富山県,1925年,人,749243
318,人口,総数,富山県,1930年,人,778953
319,人口,総数,富山県,1935年,人,798890
320,人口,総数,富山県,1940年,人,822569
321,人口,総数,富山県,1945年,人,953834
322,人口,総数,富山県,1950年,人,1008790
323,人口,総数,富山県,1955年,人,1021121
324,人口,総数,富山県,1960年,人,1032614
325,人口,総数,富山県,1965年,人,1025465
326,人口,総数,富山県,1970年,人,1029695
327,人口,総数,富山県,1975年,人,1070791
328,人口,総数,富山県,1980年,人,1103459
329,人口,総数,富山県,1985年,人,1118369
330,人口,総数,富山県,1990年,人,1120161
331,人口,総数,富山県,1995年,人,1123125
332,人口,総数,富山県,2000年,人,1120851
333,人口,総数,富山県,2005年,人,1111729
334,人口,総数,富山県,2010年,人,1093247
335,人口,総数,富山県,2015年,人,1066328
336,人口,総数,富山県,2020年,人,1034814
337,人口,総数,石川県,1920年,人,747360
338,人口,総数,石川県,1925年,人,750854
339,人口,総数,石川県,1930年,人,756835
340,人口,総数,石川県,1935年,人,768416
341,人口,総数,石川県,1940年,人,757676
342,人口,総数,石川県,1945年,人,887510
343,人口,総数,石川県,1950年,人,957279
344,人口,総数,石川県,1955年,人,966187
345,人口,総数,石川県,1960年,人,973418
346,人口,総数,石川県,1965年,人,980499
347,人口,総数,石川県,1970年,人,1002420
348,人口,総数,石川県,1975年,人,1069872
349,人口,総数,石川県,1980年,人,1119304
350,人口,総数,石川県,1985年,人,1152325
351,人口,総数,石川県,1990年,人,1164628
352,人口,総数,石川県,1995年,人,1180068
353,人口,総数,石川県,2000年,人,1180977
354,人口,総数,石川県,2005年,人,1174026
355,人口,総数,石川県,2010年,人,1169788
356,人口,総数,石川県,2015年,人,1154008
357,人口,総数,石川県,2020年,人,1132526
358,人口,総数,福井県,1920年,人,599155
359,人口,総数,福井県,1925年,人,597899
360,人口,総数,福井県,1930年,人,618144
361,人口,総数,福井県,1935年,人,646659
362,人口,総数,福井県,1940年,人,643904
363,人口,総数,福井県,1945年,人,724856
364,人口,総数,福井県,1950年,人,752374
365,人口,総数,福井県,1955年,人,754055
366,人口,総数,福井県,1960年,人,752696
367,人口,総数,福井県,1965年,人,750557
368,人口,総数,福井県,1970年,人,744230
369,人口,総数,福井県,1975年,人,773599
370,人口,総数,福井県,1980年,人,794354
371,人口,総数,福井県,1985年,人,817633
372,人口,総数,福井県,1990年,人,823585
373,人口,総数,福井県,1995年,人,826996
374,人口,総数,福井県,2000年,人,828944
375,人口,総数,福井県,2005年,人,821592
376,人口,総数,福井県,2010年,人,806314
377,人口,総数,福井県,2015年,人,786740
378,人口,総数,福井県,2020年,人,766863
379,人口,総数,山梨県,1920年,人,583453
380,人口,総数,山梨県,1925年,人,600675
381,人口,総数,山梨県,1930年,人,631042
382,人口,総数,山梨県,1935年,人,646727
383,人口,総数,山梨県,1940年,人,663026
384,人口,総数,山梨県,1945年,人,839057
385,人口,総数,山梨県,1950年,人,811369
386,人口,総数,山梨県,1955年,人,807044
387,人口,総数,山梨県,1960年,人,782062
388,人口,総数,山梨県,1965年,人,763194
389,人口,総数,山梨県,1970年,人,762029
390,人口,総数,山梨県,1975年,人,783050
391,人口,総数,山梨県,1980年,人,804256
392,人口,総数,山梨県,1985年,人,832832
393,人口,総数,山梨県,1990年,人,852966
394,人口,総数,山梨県,1995年,人,881996
395,人口,総数,山梨県,2000年,人,888172
396,人口,総数,山梨県,2005年,人,884515
397,人口,総数,山梨県,2010年,人,863075
398,人口,総数,山梨県,2015年,人,834930
399,人口,総数,山梨県,2020年,人,809974
400,人口,総数,長野県,1920年,人,1562722
401,人口,総数,長野県,1925年,人,1629217
402,人口,総数,長野県,1930年,人,1717118
403,人口,総数,長野県,1935年,人,1714000
404,人口,総数,長野県,1940年,人,1710729
405,人口,総数,長野県,1945年,人,2121050
406,人口,総数,長野県,1950年,人,2060831
407,人口,総数,長野県,1955年,人,2021292
408,人口,総数,長野県,1960年,人,1981433
409,人口,総数,長野県,1965年,人,1958007
410,人口,総数,長野県,1970年,人,1956917
411,人口,総数,長野県,1975年,人,2017564
412,人口,総数,長野県,1980年,人,2083934
413,人口,総数,長野県,1985年,人,2136927
414,人口,総数,長野県,1990年,人,2156627
415,人口,総数,長野県,1995年,人,2193984
416,人口,総数,長野県,2000年,人,2215168
417,人口,総数,長野県,2005年,人,2196114
418,人口,総数,長野県,2010年,人,2152449
419,人口,総数,長野県,2015年,人,2098804
420,人口,総数,長野県,2020年,人,2048011
421,人口,総数,岐阜県,1920年,人,1070407
422,人口,総数,岐阜県,1925年,人,1132557
423,人口,総数,岐阜県,1930年,人,1178405
424,人口,総数,岐阜県,1935年,人,1225799
425,人口,総数,岐阜県,1940年,人,1265024
426,人口,総数,岐阜県,1945年,人,1518649
427,人口,総数,岐阜県,1950年,人,1544538
428,人口,総数,岐阜県,1955年,人,1583605
429,人口,総数,岐阜県,1960年,人,1638399
430,人口,総数,岐阜県,1965年,人,1700365
431,人口,総数,岐阜県,1970年,人,1758954
432,人口,総数,岐阜県,1975年,人,1867978
433,人口,総数,岐阜県,1980年,人,1960107
434,人口,総数,岐阜県,1985年,人,2028536
435,人口,総数,岐阜県,1990年,人,2066569
436,人口,総数,岐阜県,1995年,人,2100315
437,人口,総数,岐阜県,2000年,人,2107700
438,人口,総数,岐阜県,2005年,人,2107226
439,人口,総数,岐阜県,2010年,人,2080773
440,人口,総数,岐阜県,2015年,人,2031903
441,人口,総数,岐阜県,2020年,人,1978742
442,人口,総数,静岡県,1920年,人,1550387
443,人口,総数,静岡県,1925年,人,1671217
444,人口,総数,静岡県,1930年,人,1797805
445,人口,総数,静岡県,1935年,人,1939860
446,人口,総数,静岡県,1940年,人,2017860
447,人口,総数,静岡県,1945年,人,2220358
448,人口,総数,静岡県,1950年,人,2471472
449,人口,総数,静岡県,1955年,人,2650435
450,人口,総数,静岡県,1960年,人,2756271
451,人口,総数,静岡県,1965年,人,2912521
452,人口,総数,静岡県,1970年,人,3089895
453,人口,総数,静岡県,1975年,人,3308799
454,人口,総数,静岡県,1980年,人,3446804
455,人口,総数,静岡県,1985年,人,3574692
456,人口,総数,静岡県,1990年,人,3670840
457,人口,総数,静岡県,1995年,人,3737689
458,人口,総数,静岡県,2000年,人,3767393
459,人口,総数,静岡県,2005年,人,3792377
460,人口,総数,静岡県,2010年,人,3765007
461,人口,総数,静岡県,2015年,人,3700305
462,人口,総数,静岡県,2020年,人,3633202
463,人口,総数,愛知県,1920年,人,2089762
464,人口,総数,愛知県,1925年,人,2319494
465,人口,総数,愛知県,1930年,人,2567413
466,人口,総数,愛知県,1935年,人,2862701
467,人口,総数,愛知県,1940年,人,3166592
468,人口,総数,愛知県,1945年,人,2857851
469,人口,総数,愛知県,1950年,人,3390585
470,人口,総数,愛知県,1955年,人,3769209
471,人口,総数,愛知県,1960年,人,4206313
472,人口,総数,愛知県,1965年,人,4798653
473,人口,総数,愛知県,1970年,人,5386163
474,人口,総数,愛知県,1975年,人,5923569
475,人口,総数,愛知県,1980年,人,6221638
476,人口,総数,愛知県,1985年,人,6455172
477,人口,総数,愛知県,1990年,人,6690603
478,人口,総数,愛知県,1995年,人,6868336
479,人口,総数,愛知県,2000年,人,7043300
480,人口,総数,愛知県,2005年,人,7254704
481,人口,総数,愛知県,2010年,人,7410719
482,人口,総数,愛知県,2015年,人,7483128
483,人口,総数,愛知県,2020年,人,7542415
484,人口,総数,三重県,1920年,人,1069270
485,人口,総数,三重県,1925年,人,1107692
486,人口,総数,三重県,1930年,人,1157407
487,人口,総数,三重県,1935年,人,1174595
488,人口,総数,三重県,1940年,人,1198783
489,人口,総数,三重県,1945年,人,1394286
490,人口,総数,三重県,1950年,人,1461197
491,人口,総数,三重県,1955年,人,1485582
492,人口,総数,三重県,1960年,人,1485054
493,人口,総数,三重県,1965年,人,1514467
494,人口,総数,三重県,1970年,人,1543083
495,人口,総数,三重県,1975年,人,1626002
496,人口,総数,三重県,1980年,人,1686936
497,人口,総数,三重県,1985年,人,1747311
498,人口,総数,三重県,1990年,人,1792514
499,人口,総数,三重県,1995年,人,1841358
500,人口,総数,三重県,2000年,人,1857339
501,人口,総数,三重県,2005年,人,1866963
502,人口,総数,三重県,2010年,人,1854724
503,人口,総数,三重県,2015年,人,1815865
504,人口,総数,三重県,2020年,人,1770254
505,人口,総数,滋賀県,1920年,人,651050
506,人口,総数,滋賀県,1925年,人,662412
507,人口,総数,滋賀県,1930年,人,691631
508,人口,総数,滋賀県,1935年,人,711436
509,人口,総数,滋賀県,1940年,人,703679
510,人口,総数,滋賀県,1945年,人,860911
511,人口,総数,滋賀県,1950年,人,861180
512,人口,総数,滋賀県,1955年,人,853734
513,人口,総数,滋賀県,1960年,人,842695
514,人口,総数,滋賀県,1965年,人,853385
515,人口,総数,滋賀県,1970年,人,889768
516,人口,総数,滋賀県,1975年,人,985621
517,人口,総数,滋賀県,1980年,人,1079898
518,人口,総数,滋賀県,1985年,人,1155844
519,人口,総数,滋賀県,1990年,人,1222411
520,人口,総数,滋賀県,1995年,人,1287005
521,人口,総数,滋賀県,2000年,人,1342832
522,人口,総数,滋賀県,2005年,人,1380361
523,人口,総数,滋賀県,2010年,人,1410777
524,人口,総数,滋賀県,2015年,人,1412916
525,人口,総数,滋賀県,2020年,人,1413610
526,人口,総数,京都府,1920年,人,1287147
527,人口,総数,京都府,1925年,人,1406382
528,人口,総数,京都府,1930年,人,1552832
529,人口,総数,京都府,1935年,人,1702508
530,人口,総数,京都府,1940年,人,1729993
531,人口,総数,京都府,1945年,人,1603796
532,人口,総数,京都府,1950年,人,1832934
533,人口,総数,京都府,1955年,人,1935161
534,人口,総数,京都府,1960年,人,1993403
535,人口,総数,京都府,1965年,人,2102808
536,人口,総数,京都府,1970年,人,2250087
537,人口,総数,京都府,1975年,人,2424856
538,人口,総数,京都府,1980年,人,2527330
539,人口,総数,京都府,1985年,人,2586574
540,人口,総数,京都府,1990年,人,2602460
541,人口,総数,京都府,1995年,人,2629592
542,人口,総数,京都府,2000年,人,2644391
543,人口,総数,京都府,2005年,人,2647660
544,人口,総数,京都府,2010年,人,2636092
545,人口,総数,京都府,2015年,人,2610353
546,人口,総数,京都府,2020年,人,2578087
547,人口,総数,大阪府,1920年,人,2587847
548,人口,総数,大阪府,1925年,人,3059502
549,人口,総数,大阪府,1930年,人,3540017
550,人口,総数,大阪府,1935年,人,4297174
551,人口,総数,大阪府,1940年,人,4792966
552,人口,総数,大阪府,1945年,人,2800958
553,人口,総数,大阪府,1950年,人,3857047
554,人口,総数,大阪府,1955年,人,4618308
555,人口,総数,大阪府,1960年,人,5504746
556,人口,総数,大阪府,1965年,人,6657189
557,人口,総数,大阪府,1970年,人,7620480
558,人口,総数,大阪府,1975年,人,8278925
559,人口,総数,大阪府,1980年,人,8473446
560,人口,総数,大阪府,1985年,人,8668095
561,人口,総数,大阪府,1990年,人,8734516
562,人口,総数,大阪府,1995年,人,8797268
563,人口,総数,大阪府,2000年,人,8805081
564,人口,総数,大阪府,2005年,人,8817166
565,人口,総数,大阪府,2010年,人,8865245
566,人口,総数,大阪府,2015年,人,8839469
567,人口,総数,大阪府,2020年,人,8837685
568,人口,総数,兵庫県,1920年,人,2301799
569,人口,総数,兵庫県,1925年,人,2454679
570,人口,総数,兵庫県,1930年,人,2646301
571,人口,総数,兵庫県,1935年,人,2923249
572,人口,総数,兵庫県,1940年,人,3221232
573,人口,総数,兵庫県,1945年,人,2821892
574,人口,総数,兵庫県,1950年,人,3309935
575,人口,総数,兵庫県,1955年,人,3620947
576,人口,総数,兵庫県,1960年,人,3906487
577,人口,総数,兵庫県,1965年,人,4309944
578,人口,総数,兵庫県,1970年,人,4667928
579,人口,総数,兵庫県,1975年,人,4992140
580,人口,総数,兵庫県,1980年,人,5144892
581,人口,総数,兵庫県,1985年,人,5278050
582,人口,総数,兵庫県,1990年,人,5405040
583,人口,総数,兵庫県,1995年,人,5401877
584,人口,総数,兵庫県,2000年,人,5550574
585,人口,総数,兵庫県,2005年,人,5590601
586,人口,総数,兵庫県,2010年,人,5588133
587,人口,総数,兵庫県,2015年,人,5534800
588,人口,総数,兵庫県,2020年,人,5465002
589,人口,総数,奈良県,1920年,人,564607
590,人口,総数,奈良県,1925年,人,583828
591,人口,総数,奈良県,1930年,人,596225
592,人口,総数,奈良県,1935年,人,620471
593,人口,総数,奈良県,1940年,人,620509
594,人口,総数,奈良県,1945年,人,779685
595,人口,総数,奈良県,1950年,人,763883
596,人口,総数,奈良県,1955年,人,776861
597,人口,総数,奈良県,1960年,人,781058
598,人口,総数,奈良県,1965年,人,825965
599,人口,総数,奈良県,1970年,人,930160
600,人口,総数,奈良県,1975年,人,1077491
601,人口,総数,奈良県,1980年,人,1209365
602,人口,総数,奈良県,1985年,人,1304866
603,人口,総数,奈良県,1990年,人,1375481
604,人口,総数,奈良県,1995年,人,1430862
605,人口,総数,奈良県,2000年,人,1442795
606,人口,総数,奈良県,2005年,人,1421310
607,人口,総数,奈良県,2010年,人,1400728
608,人口,総数,奈良県,2015年,人,1364316
609,人口,総数,奈良県,2020年,人,1324473
610,人口,総数,和歌山県,1920年,人,750411
611,人口,総数,和歌山県,1925年,人,787511
612,人口,総数,和歌山県,1930年,人,830748
613,人口,総数,和歌山県,1935年,人,864087
614,人口,総数,和歌山県,1940年,人,865074
615,人口,総数,和歌山県,1945年,人,936006
