year,sex,age,value
2040,男性,20~24歳,2500520
2040,男性,25~29歳,2677626
2040,男性,30~34歳,2851832
2040,男性,35~39歳,2989838
2040,男性,40~44歳,3189316
2040,男性,45~49歳,3124559
2040,男性,50~54歳,3243236
2040,男性,55~59歳,3576825
2040,男性,60~64歳,3967935
2040,男性,65~69歳,4455967
2040,男性,70~74歳,3713369
2040,男性,75~79歳,3060137
2040,男性,80~84歳,2408231
2040,男性,85歳以上,3490962
2040,女性,0~4歳,1850406
2040,女性,5~9歳,1944518
2040,女性,10~14歳,2023754
2040,女性,15~19歳,2123117
2040,女性,20~24歳,2394435
2040,女性,25~29歳,2563815
2040,女性,30~34歳,2718009
2040,女性,35~39歳,2855252
2040,女性,40~44歳,3034451
2040,女性,45~49歳,2991976
2040,女性,50~54歳,3165555
2040,女性,55~59歳,3568373
2040,女性,60~64歳,4012498
2040,女性,65~69歳,4618786
2040,女性,70~74歳,4025788
2040,女性,75~79歳,3551549
2040,女性,80~84歳,3135215
2040,女性,85歳以上,6745713
2045,男性,0~4歳,1841204
2045,男性,5~9歳,1945815
2045,男性,10~14歳,2047502
2045,男性,15~19歳,2137521
2045,男性,20~24歳,2276935
2045,男性,25~29歳,2547079
2045,男性,30~34歳,2684752
2045,男性,35~39歳,2843324
2045,男性,40~44歳,2974733
2045,男性,45~49歳,3167320
2045,男性,50~54歳,3090392
2045,男性,55~59歳,3188345
2045,男性,60~64歳,3484469
2045,男性,65~69歳,3805786
2045,男性,70~74歳,4175861
2045,男性,75~79歳,3355694
2045,男性,80~84歳,2567658
2045,男性,85歳以上,3288227
2045,女性,0~4歳,1750186
2045,女性,5~9歳,1850950
2045,女性,10~14歳,1948532
2045,女性,15~19歳,2037094
2045,女性,20~24歳,2180414
2045,女性,25~29歳,2428070
2045,女性,30~34歳,2568501
2045,女性,35~39歳,2715833
2045,女性,40~44歳,2852109
2045,女性,45~49歳,3027361
2045,女性,50~54歳,2976079
2045,女性,55~59歳,3138451
2045,女性,60~64歳,3525937
2045,女性,65~69歳,3943945
2045,女性,70~74歳,4500042
2045,女性,75~79歳,3859896
2045,女性,80~84歳,3284929
2045,女性,85歳以上,6410239
2050,男性,0~4歳,1728773
2050,男性,5~9歳,1840516
2050,男性,10~14歳,1949048
2050,男性,15~19歳,2058190.9999999998
2050,男性,20~24歳,2184822
2050,男性,25~29歳,2319714
2050,男性,30~34歳,2554051
2050,男性,35~39歳,2676966
2050,男性,40~44歳,2829445
2050,男性,45~49歳,2954908
2050,男性,50~54歳,3133884
2050,男性,55~59歳,3040247
2050,男性,60~64歳,3108921
2050,男性,65~69歳,3347781
2050,男性,70~74歳,3573314
2050,男性,75~79歳,3782244
2050,男性,80~84歳,2838119
2050,男性,85歳以上,3335641
2050,女性,0~4歳,1643299
2050,女性,5~9歳,1750755
2050,女性,10~14歳,1854793
2050,女性,15~19歳,1961446
2050,女性,20~24歳,2092110.9999999998
2050,女性,25~29歳,2211370
2050,女性,30~34歳,2432631
2050,女性,35~39歳,2566595
2050,女性,40~44歳,2713084
2050,女性,45~49歳,2845780
2050,女性,50~54歳,3011899
2050,女性,55~59歳,2951615
2050,女性,60~64歳,3102426
2050,女性,65~69歳,3468265
2050,女性,70~74歳,3846138
2050,女性,75~79歳,4320259
2050,女性,80~84歳,3585849
2050,女性,85歳以上,6308207
2055,男性,0~4歳,1616492
2055,男性,5~9歳,1728182
2055,男性,10~14歳,1843602
2055,男性,15~19歳,1959287
2055,男性,20~24歳,2103917
2055,男性,25~29歳,2226132
2055,男性,30~34歳,2326332
2055,男性,35~39歳,2546886
2055,男性,40~44歳,2664275
2055,男性,45~49歳,2811294
2055,男性,50~54歳,2924646
2055,男性,55~59歳,3084664
2055,男性,60~64歳,2967539
2055,男性,65~69歳,2990867
2055,男性,70~74歳,3150410
2055,男性,75~79歳,3244844
2055,男性,80~84歳,3210784
2055,男性,85歳以上,3646696
2055,女性,0~4歳,1536559
2055,女性,5~9歳,1643877
2055,女性,10~14歳,1754408
2055,女性,15~19歳,1867128
2055,女性,20~24歳,2014513
2055,女性,25~29歳,2122013
2055,女性,30~34歳,2215685
2055,女性,35~39歳,2430965
2055,女性,40~44歳,2564201
2055,女性,45~49歳,2707435
2055,女性,50~54歳,2831719
2055,女性,55~59歳,2987939
2055,女性,60~64歳,2919017
2055,女性,65~69歳,3053462
2055,女性,70~74歳,3385795
2055,女性,75~79歳,3697694
2055,女性,80~84歳,4022490
2055,女性,85歳以上,6639202
2060,男性,0~4歳,1526189
2060,男性,5~9歳,1615984
2060,男性,10~14歳,1731103
2060,男性,15~19歳,1853343
2060,男性,20~24歳,2002949
2060,男性,25~29歳,2143764
2060,男性,30~34歳,2232680
2060,男性,35~39歳,2320054
2060,男性,40~44歳,2535146
2060,男性,45~49歳,2647685
2060,男性,50~54歳,2783518
2060,男性,55~59歳,2879998
2060,男性,60~64歳,3013147
2060,男性,65~69歳,2859076
2060,男性,70~74歳,2819386
2060,男性,75~79歳,2870094
2060,男性,80~84歳,2766715
2060,男性,85歳以上,4143585
2060,女性,0~4歳,1450713
2060,女性,5~9歳,1537134
2060,女性,10~14歳,1647322
2060,女性,15~19歳,1766115
2060,女性,20~24歳,1917710
2060,女性,25~29歳,2043315
2060,女性,30~34歳,2126270
2060,女性,35~39歳,2214295
2060,女性,40~44歳,2428871
2060,女性,45~49歳,2559104
2060,女性,50~54歳,2694592
2060,女性,55~59歳,2809833
2060,女性,60~64歳,2955942
2060,女性,65~69歳,2874746
2060,女性,70~74歳,2983272
2060,女性,75~79歳,3260513
2060,女性,80~84歳,3451493
2060,女性,85歳以上,7374016
2065,男性,0~4歳,1455617
2065,男性,5~9歳,1525744
2065,男性,10~14歳,1618732
2065,男性,15~19歳,1740298
2065,男性,20~24歳,1894765
2065,男性,25~29歳,2040969
2065,男性,30~34歳,2150174
2065,男性,35~39歳,2226852
2065,男性,40~44歳,2309645
2065,男性,45~49歳,2519826
2065,男性,50~54歳,2622210
2065,男性,55~59歳,2742401
2065,男性,60~64歳,2814981
2065,男性,65~69歳,2906127
2065,男性,70~74歳,2700564
2065,男性,75~79歳,2574653
2065,男性,80~84歳,2461418
2065,男性,85歳以上,4097490
2065,女性,0~4歳,1383625
2065,女性,5~9歳,1451281
2065,女性,10~14歳,1540366
2065,女性,15~19歳,1658350
2065,女性,20~24歳,1814024
2065,女性,25~29歳,1945165
2065,女性,30~34歳,2047479
2065,女性,35~39歳,2125041
2065,女性,40~44歳,2212532
2065,女性,45~49歳,2424272
2065,女性,50~54歳,2547315
2065,女性,55~59歳,2674420
2065,女性,60~64歳,2780546
2065,女性,65~69歳,2912497
2065,女性,70~74歳,2811206
2065,女性,75~79歳,2876435
2065,女性,80~84歳,3052833
2065,女性,85歳以上,7416650
